stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,comp_left,comp_right,comp_correct,comp_type,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,comp_q,RestrictorType
16,exp,in Venice,in the brochure,so I had some deciding to do.,city,brochure,app,brochure,j,RESOURCE,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,Every,gallery,in Venice,"seemed high-end,",What sort of material was I consulting for my research?,MEN
17,exp,in France,on the website,so I had some deciding to do.,country,website,old-fashioned,popular,f,ADJ,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,Every,guesthouse,"looked old-fashioned,",NA,What sort of guesthouse did I want to stay at?,NIL
18,exp,in Glasgow,in the vlog,so I had some deciding to do.,city,vlog,Dundee,Glasgow,j,PLACE,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,Every,café,in the vlog,"seemed cute,",What was one of the cities that I was considering travelling to?,MAX
19,exp,in China,on the app,so I knew just where to go.,country,app,app,website,f,RESOURCE,I was on a travel app researching scenic hikes to enjoy in China and other countries.,Every,hike,in China,"looked scenic,",What type of resource was I looking at to do my research?,MEN
20,exp,in Belfast,in the blog,so I knew just where to go.,city,blog,stunning,ornate,j,ADJ,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,Every,church,"seemed ornate,",NA,What kind of church was I hoping to explore?,NIL
21,exp,in Switzerland,in the brochure,so I knew just where to go.,country,brochure,Switzerland,India,f,PLACE,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,Every,building,in the brochure,"looked unique,",What was one of the countries that I was thinking about going to?,MAX
22,exp,in Durham,on the website,so I knew just where to go.,city,website,blog,website,j,RESOURCE,I was on a website trying to find charming cottages to stay at in Durham and other cities.,Every,cottage,in Durham,"seemed charming,",What kind of information source was I looking at for my research?,MEN
23,exp,in Finland,in the vlog,so I knew just where to go.,country,vlog,idyllic,amazing,f,ADJ,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,Every,cruise,"looked idyllic,",NA,What type of cruise did I want to try out?,NIL
24,exp,in Amsterdam,on the app,so I knew just where to go.,city,app,Perth,Amsterdam,j,PLACE,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,Every,getaway,on the app,"seemed romantic,",What was one of the cities that I was thinking about visiting?,MAX
25,exp,in Norway,in the blog,so I didn't know what to do.,country,blog,blog,vlog,f,RESOURCE,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,Every,river,in Norway,"looked soothing,",What sort of material was I looking at to do my research?,MEN
26,exp,in Prague,in the brochure,so I didn't know what to do.,city,brochure,quiet,lively,j,ADJ,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,Every,bar,"seemed lively,",NA,What sort of bar was I hoping to visit?,NIL
27,exp,in Poland,on the website,so I didn't know what to do.,country,website,Poland,Indonesia,f,PLACE,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,Every,cabin,on the website,"looked peaceful,",What was one of the countries that I was considering travelling to?,MAX
28,exp,in Warsaw,in the vlog,so I didn't know what to do.,city,vlog,brochure,vlog,j,RESOURCE,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,Every,eatery,in Warsaw,"seemed funky,",What type of resource was I using for my research?,MEN
29,exp,in Hungary,on the app,so I didn't know what to do.,country,app,trendy,inexpensive,f,ADJ,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,Every,shop,"looked trendy,",NA,What kind of shop did I want to enjoy?,NIL
30,exp,in Florence,in the blog,so I didn't know what to do.,city,blog,Ottawa,Florence,j,PLACE,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,Every,square,in the blog,"seemed busy,",What was one of the cities that I was considering going to?,MAX
31,exp,in Argentina,in the brochure,so I booked straightaway.,country,brochure,brochure,app,f,RESOURCE,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,Every,bridge,in Argentina,"looked amazing,",What kind of information source was I using to do my research?,MEN
32,exp,in Madrid,on the website,so I booked straightaway.,city,website,small,wonderful,j,ADJ,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,Every,apartment,"seemed wonderful,",NA,What type of apartment was I hoping to stay at?,NIL
33,exp,in Thailand,in the vlog,so I booked straightaway.,country,vlog,Thailand,Finland,f,PLACE,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,Every,zoo,in the vlog,"looked responsible,",What was one of the countries that I was thinking about visiting?,MAX
34,exp,in Bucharest,on the app,so I booked straightaway.,city,app,website,app,j,RESOURCE,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,Every,excursion,in Bucharest,"seemed action-packed,",What sort of material was I using for my research?,MEN
35,exp,in Sweden,in the blog,so I booked straightaway.,country,blog,opulent,simple,f,ADJ,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,Every,palace,"looked opulent,",NA,What sort of palace did I want to explore?,NIL
36,exp,in Los Angeles,in the brochure,so I booked straightaway.,city,brochure,Nice,Los Angeles,j,PLACE,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,Every,place,in the brochure,"seemed awesome,",What was one of the cities that I was thinking about travelling to?,MAX
37,exp,in Egypt,on the website,so there was plenty of choice.,country,website,website,blog,f,RESOURCE,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,Every,villa,in Egypt,"looked stunning,",What type of resource was I consulting to do my research?,MEN
38,exp,in Perth,in the vlog,so there was plenty of choice.,city,vlog,cheap,cosy,j,ADJ,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,Every,pub,"seemed cosy,",NA,What kind of pub was I hoping to try out?,NIL
39,exp,in Australia,on the app,so there was plenty of choice.,country,app,Australia,Germany,f,PLACE,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,Every,lake,on the app,"looked pristine,",What was one of the countries that I was considering going to?,MAX
40,exp,in Zagreb,in the blog,so there was plenty of choice.,city,blog,vlog,blog,j,RESOURCE,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,Every,garden,in Zagreb,"seemed colourful,",What kind of information source was I consulting for my research?,MEN
41,exp,in Slovakia,in the brochure,so there was plenty of choice.,country,brochure,gorgeous,massive,f,ADJ,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,Every,waterfall,"looked gorgeous,",NA,What type of waterfall did I want to visit?,NIL
42,exp,in Krakow,on the website,so there was plenty of choice.,city,website,Chicago,Krakow,j,PLACE,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,Every,barge,on the website,"seemed spacious,",What was one of the cities that I was considering visiting?,MAX
43,exp,in Venezuela,in the vlog,so I had some deciding to do.,country,vlog,vlog,brochure,f,RESOURCE,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,Every,delicacy,in Venezuela,"looked tasty,",What sort of material was I consulting to do my research?,MEN
44,exp,in Cairo,on the app,so I had some deciding to do.,city,app,inspiring,picture-perfect,j,ADJ,I was on a travel app researching picture-perfect sights to enjoy in Cairo and other cities.,Every,sight,"seemed picture-perfect,",NA,What sort of sight was I hoping to enjoy?,NIL
45,exp,in Mexico,in the blog,so I had some deciding to do.,country,blog,Mexico,South Africa,f,PLACE,I was reading a blog to get some ideas for magnificent lighthouses to explore in Mexico and other countries.,Every,lighthouse,in the blog,"looked magnificent,",What was one of the countries that I was thinking about travelling to?,MAX
46,exp,in Berlin,in the brochure,so I had some deciding to do.,city,brochure,app,brochure,j,RESOURCE,I was flicking through a holiday brochure to find historic theatres to visit in Berlin and other cities.,Every,theatre,in Berlin,"seemed historic,",What type of resource was I looking at for my research?,MEN
47,exp,in Denmark,on the website,so I had some deciding to do.,country,website,pleasant,pricey,f,ADJ,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,Every,chalet,"looked pleasant,",NA,What kind of chalet did I want to stay at?,NIL
48,exp,in Istanbul,in the vlog,so I had some deciding to do.,city,vlog,Dublin,Istanbul,j,PLACE,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,Every,castle,in the vlog,"seemed well-maintained,",What was one of the cities that I was thinking about going to?,MAX
49,exp,in Turkey,on the app,so I knew just where to go.,country,app,app,website,f,RESOURCE,I was on a travel app researching impressive fountains to enjoy in Turkey and other countries.,Every,fountain,in Turkey,"looked impressive,",What kind of information source was I looking at to do my research?,MEN
50,exp,in Sydney,in the blog,so I knew just where to go.,city,blog,marvellous,fantastic,j,ADJ,I was reading a blog to get some ideas for fantastic temples to explore in Sydney and other cities.,Every,temple,"seemed fantastic,",NA,What type of temple was I hoping to explore?,NIL
51,exp,in Canada,in the brochure,so I knew just where to go.,country,brochure,Canada,Jamaica,f,PLACE,I was flicking through a holiday brochure to find exclusive breweries to visit in Canada and other countries.,Every,brewery,in the brochure,"looked exclusive,",What was one of the countries that I was considering visiting?,MAX
52,exp,in Bangkok,on the website,so I knew just where to go.,city,website,blog,website,j,RESOURCE,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,Every,lodge,in Bangkok,"seemed inexpensive,",What sort of material was I looking at for my research?,MEN
53,exp,in Belgium,in the vlog,so I knew just where to go.,country,vlog,thrilling,dangerous,f,ADJ,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,Every,rollercoaster,"looked thrilling,",NA,What sort of rollercoaster did I want to try out?,NIL
54,exp,in Barcelona,on the app,so I knew just where to go.,city,app,Milan,Barcelona,j,PLACE,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,Every,walk,on the app,"seemed easy,",What was one of the cities that I was considering travelling to?,MAX
55,exp,in Austria,in the blog,so I didn't know what to do.,country,blog,blog,vlog,f,RESOURCE,I was reading a blog to get some ideas for sprawling forests to explore in Austria and other countries.,Every,forest,in Austria,"looked sprawling,",What type of resource was I using to do my research?,MEN
56,exp,in New York,in the brochure,so I didn't know what to do.,city,brochure,gigantic,famous,j,ADJ,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,Every,statue,"seemed famous,",NA,What kind of statue was I hoping to visit?,NIL
57,exp,in Greece,on the website,so I didn't know what to do.,country,website,Greece,Egypt,f,PLACE,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,Every,farm,on the website,"looked eco-friendly,",What was one of the countries that I was thinking about going to?,MAX
58,exp,in Leeds,in the vlog,so I didn't know what to do.,city,vlog,brochure,vlog,j,RESOURCE,I was watching a vlog for inspiration for popular bistros to try out in Leeds and other cities.,Every,bistro,in Leeds,"seemed popular,",What kind of information source was I using for my research?,MEN
59,exp,in Indonesia,on the app,so I didn't know what to do.,country,app,challenging,epic,f,ADJ,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,Every,trek,"looked challenging,",NA,What type of trek did I want to enjoy?,NIL
60,exp,in Tokyo,in the blog,so I didn't know what to do.,city,blog,Bern,Tokyo,j,PLACE,I was reading a blog to get some ideas for bustling neighbourhoods to explore in Tokyo and other cities.,Every,neighbourhood,in the blog,"seemed bustling,",What was one of the cities that I was thinking about visiting?,MAX
61,fill,in New York,in the US,so I'm glad I went.,country,city,the tallest,the most historic,f,ADJ,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",I climbed,the tallest,building,"in New York,",What type of building did I climb?,FILL
62,fill,in Bordeaux,in France,so it was a lovely time.,country,city,the hottest,the coldest,f,ADJ,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",I experienced,the hottest,day on record,"in Bordeaux,",What kind of day did I experience?,FILL
63,fill,in Rome,in Italy,so I made some nice memories.,country,city,the most expensive,the biggest,f,ADJ,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",I ate,the most expensive,pizza,"in Rome,",What type of pizza did I eat?,FILL
64,fill,in Berlin,in Germany,so I really enjoyed it.,country,city,the most luxurious,the cheapest,f,ADJ,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",I stayed at,the most luxurious,hotel,"in Berlin,",What kind of hotel did I stay at?,FILL
65,fill,in York,in England,so it was a lovely time.,country,city,the oldest,the most modern,f,ADJ,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",I'd booked in at,the oldest,B&B,"in York,",What type of B&B did I stay at?,FILL
66,fill,in Brussels,in Belgium,so I made some nice memories.,country,city,the greenest,the smallest,f,ADJ,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",I got to see,the greenest,park,"in Brussels,",What kind of park did I see?,FILL
67,fill,in Vienna,in Austria,so I really enjoyed it.,country,city,the best,the worst,f,ADJ,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",I saw,the best views,views,"in Vienna,",What type of views did I see?,FILL
68,fill,in Rotterdam,in The Netherlands,so I'm glad I went.,country,city,the fastest,the slowest,f,ADJ,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",I rode,the fastest,train,"in Rotterdam,",What kind of train did I ride on?,FILL
69,fill,in Aberdeen,in Scotland,so I made some nice memories.,country,city,the rarest,the most common,f,ADJ,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",I was able to take photos of,the rarest,bird,"in Aberdeen,",What type of bird did I take photos of?,FILL
70,fill,in Helsinki,in Finland,so I really enjoyed it.,country,city,the poshest,the newest,f,ADJ,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",I ate at,the poshest,restaurant,"in Helsinki,",What kind of restaurant did I eat at?,FILL
71,fill,in Shanghai,in China,so it was a lovely time.,country,city,China,The UK,f,PLACE,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",I was staying in,the most modern,appartment block,"in Shanghai,",What country did I visit?,FILL
72,fill,in Vancouver,in Canada,so I made some nice memories.,country,city,Canada,Ireland,f,PLACE,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",I tried,the spiciest,noodles you can find,"in Vancouver,",What country did I visit?,FILL
73,fill,in Moscow,in Russia,so I really enjoyed it.,country,city,Russia,Wales,f,PLACE,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",I got to experience,the heaviest,snow to ever fall,"in Moscow,",What country did I visit?,FILL
74,fill,in Melbourne,in Australia,so it was a lovely time.,country,city,Australia,Hungary,f,PLACE,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",I tasted,the most unique,beer,"in Melbourne,",What country did I visit?,FILL
75,fill,in Stockholm,in Sweden,so I made some nice memories.,country,city,Sweden,Belgium,f,PLACE,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",I rented,the priciest,car available,"in Stockholm,",What country did I visit?,FILL
76,fill,in São Paulo,in Brazil,so I really enjoyed it.,country,city,Brazil,The Netherlands,f,PLACE,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",I visited,the smallest,coffee shop,"in São Paulo,",What country did I visit?,FILL
77,fill,in Mumbai,in India,so I'm glad I went.,country,city,India,Morrocco,f,PLACE,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",I sunbathed,the longest,beach,"in Mumbai,",What country did I visit?,FILL
78,fill,in Bern,in Switzerland,so it was a lovely time.,country,city,Switzerland,Turkey,f,PLACE,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",I drank from,the most well-known,fountain,"in Bern,",What country did I visit?,FILL
79,fill,in Athens,in Greece,so I made some nice memories.,country,city,Greece,Egypt,f,PLACE,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",I tried,the best,ice-cream,"in Athens,",What country did I visit?,FILL
80,fill,in Bogotá,in Colombia,so I really enjoyed it.,country,city,Colombia,Uzbekistan,f,PLACE,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",I got to enjoy,the tastiest,curry,"in Bogotá,",What country did I visit?,FILL
81,fill,in Bangkok,in Thailand,so it was a lovely time.,country,city,the most ancient,the strangest,f,ADJ,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",I visited,the most ancient,temple,"in Bangkok,",What type of temple did I visit?,FILL
82,fill,in Tokyo,in Japan,so I made some nice memories.,country,city,the largest,the least famous,f,ADJ,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",I swam in,the largest,swimming pool,"in Tokyo,",What kind of swimming pool did I swim in?,FILL
83,fill,in Malaga,in Spain,so I really enjoyed it.,country,city,the biggest,the greatest,f,ADJ,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",I rode,the biggest,rollercoaster,"in Malaga,",What type of rollercoaster did I ride?,FILL
84,fill,in Marrakesh,in Morrocco,so I'm glad I went.,country,city,the cleanest,the tidiest,f,ADJ,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",I stayed at,the cleanest,hostel,"in Marrakesh,",What kind of hostel did I stay at?,FILL
85,fill,in Istanbul,in Turkey,so I made some nice memories.,country,city,the newest,the oldest,f,ADJ,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",I went up,the newest,skyscraper,"in Istanbul,",What type of skyscraper did I go up?,FILL
86,fill,in Lisbon,in Portugal,so I really enjoyed it.,country,city,the most famous,the best,f,ADJ,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",I walked across,the most famous,bridge,"in Lisbon,",What kind of bridge did I walk across?,FILL
87,fill,in Dublin,in Ireland,so it was a lovely time.,country,city,the widest,the most narrow,f,ADJ,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",I sailed down,the widest,river,"in Dublin,",What type of river did I sail down?,FILL
88,fill,in Swansea,in Wales,so I made some nice memories.,country,city,the least well-known,the least well-known,f,ADJ,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",I got to stay in,the least well-known,area,"in Swansea,",What kind of area did I stay in?,FILL
89,fill,in Budapest,in Hungary,so I really enjoyed it.,country,city,the finest,the most affordable,f,ADJ,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",I had,the finest,seafood,"in Budapest,",What type of seafood did I have?,FILL
90,fill,in Johannesburgh,in South Africa,so it was a lovely time.,country,city,the nicest,the most unique,f,ADJ,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",I ate,the nicest,cheese,"in Johannesburgh,",What kind of cheese did I eat?,FILL
91,fill,in the US,in Chicago,so I made some nice memories.,city,country,Delhi,Chicago,j,PLACE,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",I got to try,the most delicious,spaghetti,"in the US,",What city did I visit?,FILL
92,fill,in France,in Nice,so I really enjoyed it.,city,country,Ottawa,Nice,j,PLACE,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",I bathed in,the cleanest,sea,"in France,",What city did I visit?,FILL
93,fill,in Italy,in Milan,so I'm glad I went.,city,country,Perth,Milan,j,PLACE,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",I took,the highest,helicopter ride,"in Italy,",What city did I visit?,FILL
94,fill,in Germany,in Frankfurt,so it was a lovely time.,city,country,Rabat,Frankfurt,j,PLACE,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",I paraglided over,the most beautiful,spot,"in Germany,",What city did I visit?,FILL
95,fill,in England,in Lancaster,so I made some nice memories.,city,country,Lisbon,Lancaster,j,PLACE,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",I went to,the very first,pub,"in England,",What city did I visit?,FILL
96,fill,in Belgium,in Bruges,so I really enjoyed it.,city,country,Kyoto,Bruges,j,PLACE,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",I drank at,the trendiest,bar,"in Belgium,",What city did I visit?,FILL
97,fill,in Austria,in Salzburg,so it was a lovely time.,city,country,Bangor,Salzburg,j,PLACE,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",I visited,the most historical,monument,"in Austria,",What city did I visit?,FILL
98,fill,in The Netherlands,in Utrecht,so I made some nice memories.,city,country,Cape Town,Utrecht,j,PLACE,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",I was staying near,the oldest,university,"in The Netherlands,",What city did I visit?,FILL
99,fill,in Scotland,in Dundee,so I really enjoyed it.,city,country,Birmingham,Dundee,j,PLACE,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",I got to look around,the most well-established,museum,"in Scotland,",What city did I visit?,FILL
100,fill,in Finland,in Lapland,so I'm glad I went.,city,country,Manchester,Lapland,j,PLACE,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",I arrived during,the best,time for skiing,"in Finland,",What city did I visit?,FILL
101,fill,in China,in Beijing,so I made some nice memories.,city,country,the most expansive,the deepest,j,ADJ,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",I took a boat trip on,the deepest,lake,"in China,",What type of lake did I do a trip on?,FILL
102,fill,in Canada,in Ottawa,so I really enjoyed it.,city,country,the most intriguing,the most authentic,j,ADJ,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",I got to taste,the most authentic,gelato,"in Canada,",What kind of gelato did I get to taste?,FILL
103,fill,in Russia,in St. Petersburg,so it was a lovely time.,city,country,the least fashionable,the most fashionable,j,ADJ,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",I bought,the most fashionable,jacket,"in Russia,",What type of jacket did I buy?,FILL
104,fill,in Australia,in Perth,so I made some nice memories.,city,country,the craziest,the fanciest,j,ADJ,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",I got a room at,the fanciest,boutique hotel,"in Australia,",What kind of boutique hotel did I get a room at?,FILL
105,fill,in Sweden,in Gothenburg,so I really enjoyed it.,city,country,the longest,the fastest,j,ADJ,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",I went down,the fastest,waterslide,"in Sweden,",What type of waterslide did I go down?,FILL
106,fill,in Brazil,in Rio de Janeiro,so it was a lovely time.,city,country,the easiest,the most difficult,j,ADJ,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",I did,the most difficult,trek,"in Brazil,",What kind of trek did I do?,FILL
107,fill,in India,in Delhi,so I made some nice memories.,city,country,the most traditional,the cheapest,j,ADJ,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",I enjoyed,the cheapest,vegan food,"in India,",What type of vegan food did I enjoy?,FILL
108,fill,in Switzerland,in Zürich,so I really enjoyed it.,city,country,the least popular,the most alcoholic,j,ADJ,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",I ordered,the most alcoholic,cocktail,"in Switzerland,",What kind of cocktail did I order?,FILL
109,fill,in Greece,in Corfu,so I'm glad I went.,city,country,the longest,the most scenic,j,ADJ,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",I went on,the most scenic,boat trip,"in Greece,",What type of boat trip did I go on?,FILL
110,fill,in Colombia,in Cartagena,so it was a lovely time.,city,country,the most beautiful,the most romantic,j,ADJ,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",I got to see,the most romantic,sunsets,"in Colombia,",What kind of sunsets did I get to see?,FILL
111,fill,in Thailand,in Phuket,so I made some nice memories.,city,country,Croatia,Thailand,j,PLACE,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",I got to experience,the most vibrant,nightlife,"in Thailand,",What country did I visit?,FILL
112,fill,in Japan,in Kyoto,so I really enjoyed it.,city,country,Split,Kyoto,j,PLACE,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",I ate,the best,sushi,"in Japan,",What city did I visit?,FILL
113,fill,in Spain,in Tenerife,so it was a lovely time.,city,country,Slovenia,Spain,j,PLACE,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",I got to explore,the most convoluted,caves,"in Spain,",What country did I visit?,FILL
114,fill,in Morocco,in Rabat,so I made some nice memories.,city,country,Ljubliana,Rabat,j,PLACE,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",I bought food from,the oldest,market,"in Morocco,",What city did I visit?,FILL
115,fill,in Turkey,in Antalya,so I really enjoyed it.,city,country,Cuba,Turkey,j,PLACE,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",I got to see,the biggest,Mosque minaret,"in Turkey,",What country did I visit?,FILL
